Product_ID,SKU,Product_Name,Brand,Category,Sub_Category,Price,Cost,Profit_Margin,Rating,Launch_Year,Is_Active
22,ELE-0022,Lenovo Smartwatch,Lenovo,Electronics,Tablet,23032,14820.6,35.65,3.7,2025,True
23,HKH-0023,Prestige Cookware Set,Prestige,Home & Kitchen,Cookware,10921,7340.57,32.78,3.7,2021,True
24,HKH-0024,Prestige Mixer Grinder,Prestige,Home & Kitchen,Appliances,2198,1341.26,38.98,4.4,2019,True
25,SPO-0025,Cosco Cricket Bat,Cosco,Sports,Football,25423,17368.4,31.68,3.7,2024,True
26,ELE-0026,Apple Wireless Earbuds,Apple,Electronics,Tablet,37741,25736.28,31.81,4.4,2020,True
27,ELE-0027,Apple Bluetooth Speaker,Apple,Electronics,Laptop,55296,44169.74,20.12,4.5,2022,True
28,SPO-0028,Cosco Cricket Bat,Cosco,Sports,Football,8623,5227.04,39.38,4.0,2023,True
29,SPO-0029,Decathlon Cricket Bat,Decathlon,Sports,Cricket,2826,2054.39,27.3,3.6,2019,True
30,HKH-0030,Prestige Pressure Cooker,Prestige,Home & Kitchen,Appliances,17147,10451.12,39.05,4.5,2020,True
31,BEA-0031,Lakme Lipstick,Lakme,Beauty,Perfume,4074,3063.14,24.81,3.8,2019,True
32,HKH-0032,Bajaj Water Bottle,Bajaj,Home & Kitchen,Appliances,13770,9181.23,33.32,4.6,2024,True
33,FAS-0033,Adidas Running Shoes,Adidas,Fashion,Shoes,7096,5194.65,26.79,4.7,2019,True
34,ELE-0034,Dell Monitor,Dell,Electronics,Laptop,21373,14009.37,34.45,3.9,2020,True
35,SPO-0035,Decathlon Yoga Mat,Decathlon,Sports,Fitness,26977,20646.5,23.47,4.3,2019,True
36,BEA-0036,L'Oreal Face Serum,L'Oreal,Beauty,Skincare,2136,1263.61,40.84,4.2,2020,True
37,HKH-0037,Milton Mixer Grinder,Milton,Home & Kitchen,Cookware,12718,7001.75,44.95,4.1,2025,True
38,HKH-0038,Bajaj Water Bottle,Bajaj,Home & Kitchen,Appliances,23125,18253.24,21.07,5.0,2023,True
39,ELE-0039,Dell Wireless Earbuds,Dell,Electronics,Smartwatch,27890,17408.3,37.58,5.0,2023,True
40,BEA-0040,Maybelline Sunscreen,Maybelline,Beauty,Skincare,2769,1562.52,43.57,4.4,2023,True
41,FAS-0041,Adidas Casual T-Shirt,Adidas,Fashion,Accessories,1431,1130.77,20.98,3.6,2020,True
42,FAS-0042,H&M Sneakers,H&M,Fashion,Shoes,4353,2833.56,34.91,4.9,2023,True
43,FAS-0043,Levi's Running Shoes,Levi's,Fashion,Accessories,1843,1206.81,34.52,4.4,2023,True
44,ELE-0044,HP Smartwatch,HP,Electronics,Headphones,90782,66184.43,27.1,3.9,2022,True
45,BEA-0045,Maybelline Face Wash,Maybelline,Beauty,Haircare,2790,2182.49,21.77,4.9,2019,True
46,SPO-0046,Cosco Cricket Bat,Cosco,Sports,Fitness,18117,10929.78,39.67,3.9,2021,True
47,SPO-0047,Decathlon Badminton Racket,Decathlon,Sports,Cricket,9838,5798.88,41.06,4.8,2024,True
48,SPO-0048,Decathlon Sports Bag,Decathlon,Sports,Fitness,27274,18782.26,31.13,4.9,2019,True
49,ELE-0049,Apple Bluetooth Speaker,Apple,Electronics,Laptop,18129,14003.35,22.76,4.6,2020,True
50,HKH-0050,Philips Storage Box,Philips,Home & Kitchen,Storage,11535,6931.37,39.91,4.5,2021,True
51,HKH-0051,Bajaj Pressure Cooker,Bajaj,Home & Kitchen,Appliances,3324,2355.29,29.14,4.7,2019,True
52,SPO-0052,Decathlon Sports Bag,Decathlon,Sports,Cricket,9083,5362.56,40.96,4.2,2024,True
53,FAS-0053,H&M Running Shoes,H&M,Fashion,Shoes,1732,1361.81,21.37,4.5,2020,True
54,HKH-0054,Milton Cookware Set,Milton,Home & Kitchen,Appliances,18405,10804.17,41.3,3.7,2021,True
55,SPO-0055,Cosco Badminton Racket,Cosco,Sports,Fitness,7383,5319.57,27.95,4.5,2021,True
56,FAS-0056,Levi's Sports Jacket,Levi's,Fashion,Jackets,3032,2369.33,21.86,3.9,2020,False
57,ELE-0057,Dell Gaming Mouse,Dell,Electronics,Laptop,6248,3716.56,40.52,4.9,2025,True
58,FAS-0058,Puma Jeans,Puma,Fashion,T-Shirts,3108,2321.19,25.32,3.7,2025,True
59,FAS-0059,Puma Casual T-Shirt,Puma,Fashion,Jackets,3769,2842.38,24.59,4.2,2021,True
60,ELE-0060,HP Smartwatch,HP,Electronics,Laptop,6101,4362.27,28.5,4.1,2021,True
61,ELE-0061,Sony Tablet,Sony,Electronics,Headphones,87080,58983.76,32.26,4.5,2025,True
62,ELE-0062,Sony Laptop,Sony,Electronics,Mobile,117955,93491.15,20.74,3.8,2021,True
63,FAS-0063,Levi's Hoodie,Levi's,Fashion,Accessories,6163,4512.16,26.79,4.0,2023,False
64,HKH-0064,Prestige Water Bottle,Prestige,Home & Kitchen,Cookware,19193,11468.2,40.25,3.6,2022,True
65,BEA-0065,L'Oreal Moisturizer,L'Oreal,Beauty,Makeup,3733,2118.45,43.25,4.5,2021,True
66,ELE-0066,Dell Bluetooth Speaker,Dell,Electronics,Mobile,69469,43579.37,37.27,4.1,2022,True
67,ELE-0067,HP Wireless Earbuds,HP,Electronics,Tablet,28144,18437.46,34.49,4.9,2024,True
68,HKH-0068,Milton Cookware Set,Milton,Home & Kitchen,Storage,18948,11847.0,37.48,4.3,2019,True
69,BEA-0069,Nivea Face Wash,Nivea,Beauty,Makeup,4951,3473.95,29.83,4.0,2022,True
70,SPO-0070,Cosco Dumbbell Set,Cosco,Sports,Cricket,16005,11978.68,25.16,4.9,2024,True
71,FAS-0071,Levi's Jeans,Levi's,Fashion,Shoes,8945,6404.29,28.4,4.4,2019,True
72,ELE-0072,Dell Bluetooth Speaker,Dell,Electronics,Laptop,32444,24386.23,24.84,3.7,2019,True
73,BEA-0073,Lakme Shampoo,Lakme,Beauty,Perfume,796,528.43,33.61,4.8,2023,True
74,FAS-0074,Nike Hoodie,Nike,Fashion,Jackets,7047,4305.69,38.9,4.5,2019,True
75,ELE-0075,Dell Gaming Mouse,Dell,Electronics,Mobile,31683,18818.8,40.6,4.9,2023,True
76,BEA-0076,Lakme Face Serum,Lakme,Beauty,Makeup,3939,2297.76,41.67,4.2,2023,False
77,ELE-0077,Lenovo Tablet,Lenovo,Electronics,Tablet,101992,78825.18,22.71,4.4,2024,True
78,BEA-0078,Maybelline Shampoo,Maybelline,Beauty,Perfume,3852,2982.61,22.57,4.6,2022,True
79,FAS-0079,Puma Sneakers,Puma,Fashion,T-Shirts,5043,3739.15,25.85,4.3,2024,True
80,HKH-0080,Prestige Pressure Cooker,Prestige,Home & Kitchen,Furniture,23681,14716.13,37.86,3.9,2021,True
81,FAS-0081,Adidas Casual T-Shirt,Adidas,Fashion,Shoes,2971,1805.82,39.22,4.5,2024,True
82,FAS-0082,H&M Hoodie,H&M,Fashion,Jackets,5921,4059.75,31.43,4.1,2020,True
83,FAS-0083,Nike Sports Jacket,Nike,Fashion,Jackets,820,626.63,23.58,4.6,2022,True
84,ELE-0084,Dell Bluetooth Speaker,Dell,Electronics,Headphones,101759,65888.61,35.25,4.8,2025,True
85,ELE-0085,HP Smartwatch,HP,Electronics,Tablet,66993,40521.08,39.51,4.2,2019,True
86,SPO-0086,Cosco Sports Bag,Cosco,Sports,Football,5908,4490.83,23.99,4.9,2023,True
87,SPO-0087,Yonex Dumbbell Set,Yonex,Sports,Football,18993,13594.24,28.42,3.6,2022,True
88,ELE-0088,Samsung Wireless Earbuds,Samsung,Electronics,Smartwatch,9590,5898.22,38.5,4.0,2022,True
89,SPO-0089,Cosco Badminton Racket,Cosco,Sports,Football,25141,19806.11,21.22,4.1,2025,True
90,SPO-0090,Cosco Sports Bag,Cosco,Sports,Fitness,18175,10232.91,43.7,4.9,2020,True
91,SPO-0091,Wilson Cricket Bat,Wilson,Sports,Fitness,8602,5159.83,40.02,3.5,2020,True
92,ELE-0092,Sony Laptop,Sony,Electronics,Smartwatch,76920,60531.37,21.31,4.2,2021,True
93,FAS-0093,Nike Sports Jacket,Nike,Fashion,T-Shirts,2376,1768.81,25.56,3.7,2021,True
94,HKH-0094,Prestige Air Fryer,Prestige,Home & Kitchen,Cookware,19167,13787.53,28.07,4.9,2022,True
95,ELE-0095,HP Laptop,HP,Electronics,Laptop,80607,58250.94,27.73,4.4,2019,True
96,SPO-0096,Cosco Sports Bag,Cosco,Sports,Badminton,20174,15158.38,24.86,4.7,2023,True
97,HKH-0097,Philips Cookware Set,Philips,Home & Kitchen,Appliances,14337,10256.41,28.46,3.6,2024,True
98,ELE-0098,Dell Monitor,Dell,Electronics,Smartwatch,16833,11082.52,34.16,4.0,2025,True
99,HKH-0099,Philips Water Bottle,Philips,Home & Kitchen,Storage,6071,4452.77,26.66,4.9,2021,True
100,BEA-0100,Lakme Face Wash,Lakme,Beauty,Perfume,3768,2850.24,24.36,4.4,2021,True
101,ELE-0101,Sony Bluetooth Speaker,Sony,Electronics,Mobile,118557,78567.78,33.73,4.6,2023,True
102,BEA-0102,Maybelline Moisturizer,Maybelline,Beauty,Perfume,435,293.01,32.64,4.0,2022,True
103,FAS-0103,Puma Jeans,Puma,Fashion,Jeans,5081,3912.78,22.99,4.6,2021,True
104,FAS-0104,Adidas Casual T-Shirt,Adidas,Fashion,Accessories,1902,1160.86,38.97,4.1,2023,True
105,ELE-0105,Apple Monitor,Apple,Electronics,Smartwatch,61743,46198.16,25.18,3.6,2020,True
106,HKH-0106,Bajaj Air Fryer,Bajaj,Home & Kitchen,Storage,22056,15337.5,30.46,4.2,2023,True
107,SPO-0107,Yonex Badminton Racket,Yonex,Sports,Badminton,23531,15611.32,33.66,4.0,2020,True
108,FAS-0108,Puma Jeans,Puma,Fashion,T-Shirts,2458,1808.4,26.43,4.9,2024,True
109,SPO-0109,Wilson Sports Bag,Wilson,Sports,Cricket,16366,10132.6,38.09,4.4,2025,True
110,HKH-0110,Milton Pressure Cooker,Milton,Home & Kitchen,Appliances,6660,4156.25,37.59,4.0,2021,True
111,FAS-0111,Levi's Casual T-Shirt,Levi's,Fashion,Accessories,4994,2803.53,43.86,3.6,2021,True
112,ELE-0112,Samsung Monitor,Samsung,Electronics,Laptop,16446,12633.49,23.18,4.4,2022,True
113,BEA-0113,L'Oreal Lipstick,L'Oreal,Beauty,Haircare,620,380.13,38.69,4.8,2019,True
114,FAS-0114,Puma Hoodie,Puma,Fashion,Jackets,1713,1189.26,30.57,4.5,2020,True
115,BEA-0115,Maybelline Face Serum,Maybelline,Beauty,Haircare,2233,1294.28,42.04,4.6,2023,True
116,BEA-0116,Maybelline Shampoo,Maybelline,Beauty,Makeup,3316,2197.28,33.74,4.2,2025,True
117,HKH-0117,Philips Air Fryer,Philips,Home & Kitchen,Furniture,18932,13351.92,29.47,4.4,2024,True
118,ELE-0118,Apple Smartwatch,Apple,Electronics,Laptop,37687,26950.24,28.49,3.7,2020,True
119,SPO-0119,Wilson Cricket Bat,Wilson,Sports,Cricket,13886,9201.22,33.74,4.4,2021,True
120,BEA-0120,Maybelline Sunscreen,Maybelline,Beauty,Haircare,2516,1825.98,27.43,4.2,2024,True
121,SPO-0121,Cosco Sports Bag,Cosco,Sports,Badminton,19826,14181.45,28.47,4.9,2022,True
122,BEA-0122,L'Oreal Sunscreen,L'Oreal,Beauty,Makeup,1420,1103.49,22.29,4.7,2019,True
123,SPO-0123,Wilson Dumbbell Set,Wilson,Sports,Badminton,25041,18932.5,24.39,4.9,2022,True
124,ELE-0124,Samsung Gaming Mouse,Samsung,Electronics,Headphones,38683,26115.59,32.49,4.2,2019,True
125,HKH-0125,Bajaj Storage Box,Bajaj,Home & Kitchen,Furniture,10861,7612.78,29.91,3.5,2020,False
126,BEA-0126,L'Oreal Sunscreen,L'Oreal,Beauty,Skincare,2407,1670.61,30.59,4.6,2020,True
127,FAS-0127,H&M Jeans,H&M,Fashion,Jackets,3473,2775.75,20.08,4.2,2025,True
128,ELE-0128,Apple Monitor,Apple,Electronics,Mobile,48607,31695.99,34.79,4.0,2019,True
129,FAS-0129,Puma Hoodie,Puma,Fashion,Jeans,8617,5360.24,37.79,4.9,2025,True
130,HKH-0130,Milton Water Bottle,Milton,Home & Kitchen,Cookware,3185,2002.18,37.14,4.0,2025,True
131,HKH-0131,Prestige Storage Box,Prestige,Home & Kitchen,Cookware,18079,12031.47,33.45,3.6,2023,True
132,ELE-0132,Sony Monitor,Sony,Electronics,Smartwatch,102613,57761.16,43.71,3.9,2020,True
133,ELE-0133,Lenovo Monitor,Lenovo,Electronics,Smartwatch,18915,10539.77,44.28,4.4,2025,True
134,ELE-0134,Sony Bluetooth Speaker,Sony,Electronics,Laptop,75199,41616.53,44.66,4.1,2020,False
135,HKH-0135,Bajaj Water Bottle,Bajaj,Home & Kitchen,Cookware,4149,2953.79,28.81,3.7,2024,True
136,ELE-0136,HP Gaming Mouse,HP,Electronics,Headphones,112408,75383.6,32.94,4.2,2022,True
137,SPO-0137,Wilson Football,Wilson,Sports,Football,20140,13635.99,32.29,4.8,2025,True
138,SPO-0138,Yonex Badminton Racket,Yonex,Sports,Football,26311,17810.82,32.31,4.7,2021,True
139,FAS-0139,Levi's Sports Jacket,Levi's,Fashion,Accessories,8522,6530.54,23.37,4.2,2022,True
140,BEA-0140,Maybelline Face Wash,Maybelline,Beauty,Perfume,2836,2176.35,23.26,5.0,2020,True
141,SPO-0141,Yonex Yoga Mat,Yonex,Sports,Cricket,1930,1215.02,37.05,4.2,2025,True
142,FAS-0142,Levi's Hoodie,Levi's,Fashion,T-Shirts,1106,643.21,41.84,4.9,2021,True
143,FAS-0143,Levi's Running Shoes,Levi's,Fashion,Jackets,9117,7089.47,22.24,3.5,2020,True
144,BEA-0144,Lakme Face Serum,Lakme,Beauty,Makeup,4046,3015.81,25.46,3.9,2023,True
145,SPO-0145,Wilson Badminton Racket,Wilson,Sports,Fitness,28429,20428.78,28.14,4.3,2021,True
146,BEA-0146,L'Oreal Shampoo,L'Oreal,Beauty,Perfume,494,347.96,29.56,3.9,2024,True
147,BEA-0147,Nivea Sunscreen,Nivea,Beauty,Makeup,940,618.98,34.15,3.6,2024,True
148,FAS-0148,H&M Hoodie,H&M,Fashion,Shoes,3225,2333.29,27.65,4.9,2019,True
149,SPO-0149,Decathlon Badminton Racket,Decathlon,Sports,Fitness,12246,7882.88,35.63,3.7,2023,True
150,ELE-0150,HP Wireless Earbuds,HP,Electronics,Laptop,25946,14782.53,43.03,4.8,2023,True
151,ELE-0151,Lenovo Wireless Earbuds,Lenovo,Electronics,Smartwatch,33433,22242.56,33.47,3.9,2021,True
152,SPO-0152,Decathlon Badminton Racket,Decathlon,Sports,Football,22703,15589.0,31.34,3.6,2021,False
153,FAS-0153,H&M Sneakers,H&M,Fashion,Jeans,7451,5383.93,27.74,4.2,2021,True
154,ELE-0154,HP Monitor,HP,Electronics,Smartwatch,16979,10345.33,39.07,4.4,2023,True
155,ELE-0155,Dell Smartphone,Dell,Electronics,Headphones,111794,79883.24,28.54,3.9,2023,True
156,BEA-0156,Maybelline Shampoo,Maybelline,Beauty,Skincare,4269,3236.8,24.18,4.9,2025,True
157,BEA-0157,Maybelline Lipstick,Maybelline,Beauty,Haircare,1757,1239.08,29.48,4.5,2024,True
158,HKH-0158,Bajaj Storage Box,Bajaj,Home & Kitchen,Storage,3483,2702.29,22.41,4.5,2021,True
159,FAS-0159,Puma Sports Jacket,Puma,Fashion,Shoes,6477,4748.22,26.69,3.6,2021,True
160,FAS-0160,Levi's Casual T-Shirt,Levi's,Fashion,Jackets,3789,2209.14,41.7,4.3,2021,True
161,ELE-0161,Lenovo Wireless Earbuds,Lenovo,Electronics,Headphones,36681,28556.61,22.15,4.9,2025,True
162,FAS-0162,Puma Running Shoes,Puma,Fashion,Jeans,8173,6462.58,20.93,3.7,2020,True
163,SPO-0163,Yonex Dumbbell Set,Yonex,Sports,Football,12485,7148.61,42.74,4.1,2021,True
164,SPO-0164,Wilson Badminton Racket,Wilson,Sports,Football,22547,16622.84,26.27,3.9,2022,True
165,FAS-0165,Levi's Running Shoes,Levi's,Fashion,Jeans,4330,2891.87,33.21,4.4,2023,True
166,BEA-0166,Lakme Sunscreen,Lakme,Beauty,Makeup,717,508.25,29.11,4.2,2024,True
167,HKH-0167,Philips Pressure Cooker,Philips,Home & Kitchen,Furniture,4880,2739.32,43.87,3.6,2022,True
168,ELE-0168,Samsung Wireless Earbuds,Samsung,Electronics,Laptop,53940,35784.39,33.66,4.5,2024,True
169,SPO-0169,Decathlon Dumbbell Set,Decathlon,Sports,Football,24822,18161.01,26.84,4.8,2024,True
170,SPO-0170,Cosco Dumbbell Set,Cosco,Sports,Football,13873,10887.02,21.52,3.9,2024,True
171,BEA-0171,Nivea Face Wash,Nivea,Beauty,Perfume,2134,1630.08,23.61,3.6,2024,True
172,SPO-0172,Yonex Cricket Bat,Yonex,Sports,Badminton,13546,8384.57,38.1,5.0,2025,True
173,FAS-0173,Adidas Sneakers,Adidas,Fashion,Shoes,3975,2823.94,28.96,4.4,2019,True
174,FAS-0174,H&M Casual T-Shirt,H&M,Fashion,Jeans,2563,1913.91,25.33,3.8,2025,True
175,BEA-0175,Maybelline Shampoo,Maybelline,Beauty,Makeup,1969,1483.18,24.67,3.8,2025,True
176,HKH-0176,Milton Air Fryer,Milton,Home & Kitchen,Cookware,5041,4017.08,20.31,4.3,2025,True
177,BEA-0177,Nivea Lipstick,Nivea,Beauty,Skincare,321,205.3,36.04,4.7,2023,True
178,HKH-0178,Milton Air Fryer,Milton,Home & Kitchen,Storage,2017,1173.27,41.83,4.1,2019,True
179,ELE-0179,Lenovo Monitor,Lenovo,Electronics,Smartwatch,104976,67238.15,35.95,4.4,2022,True
180,ELE-0180,Apple Smartphone,Apple,Electronics,Tablet,98321,73328.47,25.42,4.8,2023,True
181,FAS-0181,Levi's Running Shoes,Levi's,Fashion,Shoes,8347,6358.95,23.82,4.1,2019,True
182,FAS-0182,Puma Running Shoes,Puma,Fashion,Jackets,1823,1149.45,36.95,3.7,2020,True
183,ELE-0183,Samsung Tablet,Samsung,Electronics,Tablet,52925,42268.92,20.13,4.3,2022,True
184,ELE-0184,Lenovo Laptop,Lenovo,Electronics,Smartwatch,106952,77587.78,27.46,4.8,2024,True
185,SPO-0185,Yonex Yoga Mat,Yonex,Sports,Cricket,15296,11808.86,22.8,4.1,2025,True
186,BEA-0186,Nivea Sunscreen,Nivea,Beauty,Perfume,978,614.32,37.19,4.0,2021,True
187,FAS-0187,Levi's Sneakers,Levi's,Fashion,T-Shirts,8270,4687.3,43.32,4.7,2019,True
188,FAS-0188,Levi's Casual T-Shirt,Levi's,Fashion,Jeans,9615,5432.43,43.5,4.9,2023,True
189,HKH-0189,Milton Water Bottle,Milton,Home & Kitchen,Cookware,11886,9133.22,23.16,4.9,2022,True
190,SPO-0190,Decathlon Badminton Racket,Decathlon,Sports,Fitness,20174,12671.54,37.19,3.7,2023,True
191,BEA-0191,Lakme Lipstick,Lakme,Beauty,Perfume,1086,692.36,36.25,4.3,2019,True
192,BEA-0192,Maybelline Face Wash,Maybelline,Beauty,Makeup,4795,3805.49,20.64,4.7,2023,True
193,SPO-0193,Decathlon Dumbbell Set,Decathlon,Sports,Fitness,22055,16703.69,24.26,3.9,2020,True
194,SPO-0194,Wilson Badminton Racket,Wilson,Sports,Badminton,12002,6619.42,44.85,4.8,2023,True
195,ELE-0195,HP Wireless Earbuds,HP,Electronics,Mobile,100120,70914.3,29.17,3.5,2024,True
196,HKH-0196,Philips Water Bottle,Philips,Home & Kitchen,Furniture,15165,9633.17,36.48,4.1,2024,True
197,BEA-0197,Nivea Face Serum,Nivea,Beauty,Skincare,1474,868.71,41.06,4.4,2024,True
198,SPO-0198,Wilson Sports Bag,Wilson,Sports,Football,14394,9664.35,32.86,4.2,2021,True
199,SPO-0199,Yonex Badminton Racket,Yonex,Sports,Fitness,14587,8427.24,42.23,4.5,2023,True
200,FAS-0200,Nike Running Shoes,Nike,Fashion,Jeans,4112,2667.93,35.12,4.4,2019,True
201,FAS-0201,Puma Casual T-Shirt,Puma,Fashion,T-Shirts,4686,2916.39,37.76,3.7,2022,True
202,FAS-0202,Nike Casual T-Shirt,Nike,Fashion,T-Shirts,6729,4596.89,31.69,3.8,2023,True
203,HKH-0203,Bajaj Pressure Cooker,Bajaj,Home & Kitchen,Appliances,13311,10188.79,23.46,3.6,2019,True
204,FAS-0204,Nike Jeans,Nike,Fashion,Shoes,9933,6529.17,34.27,4.1,2024,True
205,ELE-0205,Sony Gaming Mouse,Sony,Electronics,Mobile,5733,4537.96,20.84,3.8,2023,True
206,FAS-0206,Puma Running Shoes,Puma,Fashion,Jeans,7655,5826.38,23.89,3.9,2023,True
207,FAS-0207,H&M Hoodie,H&M,Fashion,Shoes,5583,4111.61,26.35,3.8,2025,True
208,HKH-0208,Philips Cookware Set,Philips,Home & Kitchen,Cookware,17010,10180.08,40.15,4.7,2021,True
209,SPO-0209,Wilson Football,Wilson,Sports,Cricket,3868,2269.01,41.34,3.8,2023,True
210,ELE-0210,Lenovo Wireless Earbuds,Lenovo,Electronics,Mobile,104298,73737.35,29.3,4.2,2023,True
211,BEA-0211,Nivea Sunscreen,Nivea,Beauty,Perfume,4824,3428.65,28.93,5.0,2021,True
212,FAS-0212,H&M Casual T-Shirt,H&M,Fashion,Jeans,7705,4369.29,43.29,4.2,2021,True
213,SPO-0213,Cosco Badminton Racket,Cosco,Sports,Fitness,17124,9735.81,43.15,4.2,2019,True
214,FAS-0214,Nike Running Shoes,Nike,Fashion,Jeans,1979,1392.73,29.62,4.3,2022,True
215,ELE-0215,Apple Monitor,Apple,Electronics,Mobile,109144,75627.42,30.71,3.8,2023,True
216,ELE-0216,Dell Smartphone,Dell,Electronics,Laptop,62050,35733.07,42.41,4.8,2021,False
217,ELE-0217,Sony Wireless Earbuds,Sony,Electronics,Mobile,8130,4975.04,38.81,4.2,2022,True
218,ELE-0218,HP Wireless Earbuds,HP,Electronics,Tablet,50696,32608.33,35.68,3.9,2022,True
219,ELE-0219,Apple Smartphone,Apple,Electronics,Tablet,106445,75333.43,29.23,4.0,2021,True
220,FAS-0220,H&M Jeans,H&M,Fashion,Jackets,4628,3382.76,26.91,4.5,2023,True
221,ELE-0221,HP Laptop,HP,Electronics,Headphones,79380,56828.38,28.41,4.9,2021,False
222,SPO-0222,Cosco Football,Cosco,Sports,Football,19998,14542.72,27.28,3.6,2023,True
223,SPO-0223,Wilson Football,Wilson,Sports,Badminton,22458,16297.94,27.43,4.9,2024,True
224,FAS-0224,Nike Sneakers,Nike,Fashion,Shoes,7437,5035.76,32.29,3.5,2021,True
225,HKH-0225,Milton Air Fryer,Milton,Home & Kitchen,Storage,16234,9707.95,40.2,5.0,2020,True
226,FAS-0226,Puma Sports Jacket,Puma,Fashion,Shoes,9343,7089.28,24.12,4.8,2019,True
227,ELE-0227,Dell Wireless Earbuds,Dell,Electronics,Tablet,81282,52360.24,35.58,3.7,2025,True
228,FAS-0228,Puma Casual T-Shirt,Puma,Fashion,Accessories,7670,4302.28,43.91,4.0,2024,True
229,FAS-0229,Nike Sports Jacket,Nike,Fashion,Jackets,5168,3814.49,26.19,4.7,2020,True
230,SPO-0230,Cosco Yoga Mat,Cosco,Sports,Badminton,27864,16676.72,40.15,4.5,2023,False
231,ELE-0231,Samsung Bluetooth Speaker,Samsung,Electronics,Smartwatch,104990,67767.7,35.45,4.3,2020,True
232,BEA-0232,Maybelline Moisturizer,Maybelline,Beauty,Makeup,627,445.35,28.97,4.8,2023,True
233,SPO-0233,Decathlon Badminton Racket,Decathlon,Sports,Fitness,3248,2406.05,25.92,3.9,2023,True
234,HKH-0234,Bajaj Pressure Cooker,Bajaj,Home & Kitchen,Furniture,7575,5712.88,24.58,4.8,2019,True
235,FAS-0235,H&M Sports Jacket,H&M,Fashion,Jackets,6626,4034.87,39.11,5.0,2021,True
236,FAS-0236,Levi's Running Shoes,Levi's,Fashion,Jeans,5993,4481.84,25.22,3.7,2021,True
237,FAS-0237,Puma Sneakers,Puma,Fashion,Jackets,2773,2051.22,26.03,4.2,2023,True
238,ELE-0238,Sony Smartphone,Sony,Electronics,Mobile,36544,22069.42,39.61,3.7,2024,True
239,ELE-0239,Sony Laptop,Sony,Electronics,Smartwatch,104734,65147.21,37.8,4.0,2019,True
240,HKH-0240,Milton Pressure Cooker,Milton,Home & Kitchen,Furniture,3932,2985.06,24.08,4.2,2023,True
241,ELE-0241,HP Smartwatch,HP,Electronics,Tablet,97181,56937.79,41.41,4.1,2023,True
242,BEA-0242,Nivea Lipstick,Nivea,Beauty,Perfume,901,613.46,31.91,4.0,2023,True
243,FAS-0243,Puma Sports Jacket,Puma,Fashion,Accessories,833,539.46,35.24,4.2,2024,True
244,HKH-0244,Prestige Air Fryer,Prestige,Home & Kitchen,Appliances,24788,13734.05,44.59,4.7,2021,True
245,HKH-0245,Milton Cookware Set,Milton,Home & Kitchen,Cookware,24390,18028.35,26.08,3.7,2021,True
246,HKH-0246,Philips Storage Box,Philips,Home & Kitchen,Storage,15524,12344.76,20.48,4.2,2020,True
