Acquisition_ID,Date_ID,Customer_ID,Campaign_ID,Channel_ID,Geography_ID,Acquisition_Cost,First_Order_Value,Customer_Lifetime_Value
81,20250710,81,14,2,14,1316.92,3183.67,15270.86
82,20250418,82,12,1,11,1428.44,8726.31,32906.55
83,20251027,83,14,3,24,496.08,3365.78,12571.42
84,20251107,84,18,5,13,554.65,2973.79,6274.31
85,20251110,85,10,5,12,583.01,5377.38,22597.08
86,20251226,86,20,4,21,565.04,1447.41,6582.85
87,20250303,87,18,5,27,1344.86,7462.98,27400.51
88,20251017,88,12,1,19,843.38,5220.87,17396.57
89,20250615,89,1,1,1,461.09,8545.28,39230.56
90,20250523,90,4,2,17,112.75,4644.48,8486.87
91,20250112,91,16,3,30,704.35,5538.46,22797.64
92,20250502,92,9,1,28,867.41,4532.99,21446.8
93,20250515,93,16,2,10,630.97,7245.0,13499.03
94,20250107,94,2,3,4,634.08,9055.69,16684.09
95,20250422,95,13,5,29,1401.88,7399.83,29380.99
96,20250507,96,7,6,15,152.77,3097.71,15341.84
97,20250522,97,10,6,11,1212.55,6789.89,25799.01
98,20250629,98,2,4,22,124.63,2772.3,6394.3
99,20250111,99,18,3,27,1035.2,7503.72,22724.55
100,20250404,100,9,6,19,1174.5,5100.57,7980.76
101,20250804,101,18,3,10,285.69,2031.94,8847.43
102,20250309,102,17,6,20,175.02,539.34,1979.88
103,20251224,103,18,5,15,943.35,904.81,2088.58
104,20250615,104,20,1,27,130.62,9363.72,29869.6
105,20250226,105,6,1,22,355.88,5298.17,17599.57
106,20250322,106,20,6,20,258.67,2043.4,6562.12
107,20250512,107,18,2,21,131.8,7536.24,23395.71
108,20250628,108,12,4,29,809.06,8674.64,33212.78
109,20250227,109,5,1,5,1247.68,5115.73,23396.09
110,20250307,110,16,4,29,1472.86,7850.23,37635.59
111,20250825,111,3,3,26,1318.26,1960.89,9389.99
112,20250909,112,5,5,8,1223.98,1967.67,4472.2
113,20250124,113,11,6,25,748.65,6728.36,17003.75
114,20250110,114,16,2,4,1058.17,1872.88,5022.47
115,20250318,115,17,6,21,1232.49,3512.25,11984.86
116,20250321,116,2,1,7,194.21,9820.43,23745.32
117,20250927,117,9,3,1,785.31,2169.48,5037.12
118,20250623,118,14,5,2,1295.97,5054.34,14811.91
119,20251206,119,5,4,28,1199.17,3005.16,13227.93
120,20250818,120,17,4,12,1452.86,2690.54,5715.82
121,20250117,121,19,3,4,108.24,9493.22,37479.09
122,20250113,122,19,6,19,1118.45,4464.3,8960.73
123,20251009,123,8,5,11,365.45,1037.86,4857.97
124,20251013,124,8,3,3,594.58,4977.28,23704.06
125,20250608,125,18,6,9,1243.86,4389.82,21301.22
126,20250708,126,1,6,5,378.41,9491.46,41319.43
127,20250412,127,12,3,30,1126.15,7033.7,23658.76
128,20250912,128,11,1,20,104.14,5093.12,10420.84
129,20251206,129,17,5,11,524.02,8533.41,39849.42
130,20250723,130,1,5,23,765.17,5218.85,24502.14
131,20251215,131,13,1,23,1316.34,7761.27,35935.71
132,20251025,132,5,5,4,356.71,9763.97,18098.34
133,20250304,133,11,6,23,1239.86,9798.16,26088.0
134,20250926,134,18,1,28,1295.54,4097.88,18677.62
135,20250207,135,13,1,5,113.71,4478.62,17394.94
136,20250702,136,3,2,8,1443.18,6708.11,32765.29
137,20250613,137,12,5,19,1296.86,818.47,3361.1
138,20251007,138,15,1,28,140.12,6498.51,31740.24
139,20251013,139,1,4,11,214.15,9445.65,42226.43
140,20250918,140,13,3,29,608.64,9910.12,44738.11
141,20250624,141,17,5,7,677.28,2967.65,6371.24
142,20250708,142,10,6,13,434.7,8160.06,21784.69
143,20250227,143,12,4,19,146.66,9799.58,37120.32
144,20250409,144,15,3,25,110.63,4835.15,18770.35
145,20250610,145,1,5,16,1350.07,8970.51,20679.92
146,20250821,146,6,4,4,1235.17,5251.78,25609.52
147,20250411,147,10,3,27,515.82,4345.32,7572.63
148,20251119,148,14,1,5,888.52,2621.45,4906.71
149,20250812,149,16,5,26,1468.0,7582.51,34975.75
150,20250627,150,5,1,25,407.44,608.95,2786.2
151,20250208,151,14,3,27,1174.71,759.12,3665.99
152,20250927,152,2,3,12,1258.22,1271.68,2205.13
153,20250713,153,20,5,9,1325.28,602.9,1881.77
154,20250708,154,3,5,22,1003.09,3133.79,6804.76
155,20250324,155,17,6,9,976.45,1294.88,2314.46
156,20251107,156,14,1,30,1120.94,5054.05,17443.58
157,20250302,157,16,6,30,852.63,9803.01,26442.48
158,20251122,158,3,2,15,1124.2,4599.2,10126.32
159,20250526,159,8,4,29,593.05,8914.06,35829.3
160,20250803,160,19,4,21,604.65,8440.94,18712.64
161,20250606,161,14,2,20,732.53,8734.91,13701.44
162,20250323,162,4,2,14,1458.38,4870.29,15546.13
163,20250129,163,4,2,4,1129.36,2539.53,4342.69
164,20250824,164,4,6,6,1450.91,1390.74,6825.11
165,20251112,165,13,1,22,148.72,7966.19,19333.69
166,20251113,166,1,6,5,972.45,9018.93,24021.1
167,20250311,167,14,2,8,317.19,6741.63,12405.95
168,20250905,168,10,5,12,1342.04,1357.25,3342.79
169,20250108,169,14,2,27,443.71,9084.39,43128.02
170,20250113,170,3,2,12,1113.79,2998.88,12350.28
171,20250726,171,5,2,9,665.61,5995.26,13046.66
172,20250427,172,2,6,28,1407.68,5834.09,14121.83
173,20250725,173,7,2,11,144.82,8757.28,33922.78
174,20251226,174,11,3,11,1034.28,685.42,1828.22
175,20250719,175,17,5,26,984.96,3943.7,15473.05
176,20250221,176,13,5,28,420.67,6297.18,18105.57
177,20250311,177,13,2,19,1217.07,3182.16,14783.62
178,20250215,178,11,4,20,564.13,4051.99,19924.66
179,20251010,179,20,5,23,474.63,1211.2,3089.54
180,20250118,180,2,6,6,747.88,3172.27,10606.12
181,20251214,181,19,4,7,206.01,9009.02,37971.89
182,20250810,182,18,6,14,838.64,8681.12,37313.43
183,20250117,183,1,2,21,1392.68,2713.75,7581.02
184,20250515,184,7,5,17,392.88,1182.21,5436.39
185,20250715,185,15,4,11,1077.22,2573.24,6054.49
186,20250622,186,15,4,13,983.83,8033.59,15955.02
187,20251030,187,7,3,25,1445.48,2622.22,6720.45
188,20250115,188,14,4,7,1251.88,882.56,4376.25
189,20251015,189,20,2,13,545.06,1121.71,3975.57
190,20250823,190,1,5,6,778.86,6226.02,28393.18
191,20250216,191,4,1,21,425.01,5596.45,14540.22
192,20250330,192,19,3,4,171.21,9348.28,43208.23
193,20250420,193,20,3,9,570.33,1067.59,1818.12
194,20251028,194,19,6,29,464.96,7041.92,13367.45
195,20251002,195,14,2,25,303.41,1471.32,2665.64
196,20250403,196,13,1,13,1238.0,2933.52,8929.72
197,20250314,197,3,1,21,424.7,5091.58,9399.79
198,20250104,198,6,6,23,186.72,758.69,1673.34
199,20251219,199,9,3,30,327.82,634.03,2319.57
200,20250809,200,1,6,9,668.12,5155.53,18647.02
201,20250411,201,15,3,20,346.28,638.85,1396.63
202,20250930,202,3,4,3,900.57,965.26,1842.13
203,20251107,203,17,5,28,395.04,1222.13,3200.48
204,20251026,204,18,6,28,1421.08,2833.53,14108.71
205,20250830,205,6,5,13,259.1,6105.92,21089.59
206,20251116,206,14,1,24,938.27,5693.35,10780.51
207,20251216,207,13,1,13,628.88,9340.08,22827.16
208,20250529,208,1,3,3,885.28,1876.8,8851.11
209,20250505,209,2,4,11,1036.58,9162.4,35481.82
210,20250219,210,14,2,20,445.14,5707.94,15261.38
211,20250928,211,12,4,21,557.84,4268.41,11583.59
212,20250523,212,17,1,29,733.68,8864.46,20444.38
213,20250427,213,13,3,6,1434.6,8991.13,22087.04
214,20250908,214,12,6,11,1086.04,9377.78,30819.34
215,20250108,215,17,3,8,1348.94,7099.11,20624.89
216,20250722,216,8,6,11,1159.66,9182.92,33903.66
217,20250305,217,11,1,17,1034.77,2329.61,4995.71
218,20250127,218,18,3,1,918.66,4936.81,19969.19
219,20250730,219,16,6,7,284.78,8018.54,33652.67
220,20250822,220,20,6,8,787.0,867.41,4057.84
221,20250716,221,2,3,4,1445.75,9297.36,18072.88
222,20251220,222,19,4,3,1307.7,4980.17,8823.49
223,20250125,223,1,3,8,301.36,5272.2,22615.28
224,20250202,224,10,4,1,1431.03,592.49,1414.97
225,20250718,225,19,1,13,1108.68,7528.09,19365.19
226,20250421,226,8,3,26,404.98,3515.45,6157.83
227,20250317,227,14,1,7,1384.76,561.47,1621.95
228,20251218,228,13,3,11,700.12,5839.4,24138.78
229,20251101,229,15,4,15,1265.76,8748.73,25164.38
230,20250617,230,14,3,28,918.89,710.42,1483.68
231,20251002,231,7,5,12,750.73,8019.76,38096.61
232,20250622,232,18,6,13,254.5,5724.02,26341.31
233,20251015,233,19,6,14,431.58,8223.47,26460.5
234,20250228,234,10,2,3,1034.58,666.14,2698.63
235,20250817,235,11,5,28,930.18,6607.14,12009.72
236,20250729,236,4,6,29,570.36,4947.68,9191.27
237,20250815,237,4,4,29,374.03,6322.89,26009.73
238,20251224,238,10,5,13,1189.38,3562.3,5851.41
239,20250616,239,9,4,4,1111.12,3295.8,12404.44
240,20251108,240,13,4,30,1072.86,7586.39,21879.26
241,20251104,241,3,5,18,1396.3,5334.07,19788.94
242,20250706,242,13,6,16,676.97,8054.24,36470.55
243,20250713,243,20,3,3,174.21,7940.13,38913.76
244,20250810,244,9,5,11,468.6,7622.0,22700.92
245,20251127,245,14,2,18,923.16,9903.88,45308.77
246,20250213,246,1,1,22,1229.91,5541.03,21739.09
247,20250518,247,3,6,1,712.12,3948.03,15216.38
248,20250429,248,5,2,10,121.58,2189.46,10879.49
249,20250111,249,2,2,15,1390.48,7142.99,29329.27
250,20250614,250,11,2,2,236.57,7422.14,31544.49
251,20250115,251,7,3,9,1255.2,8645.58,15732.26
252,20250428,252,14,2,11,112.59,6276.18,30072.95
253,20250916,253,17,6,8,391.13,9198.77,33303.43
254,20250728,254,17,3,26,998.12,9567.12,39888.72
255,20250904,255,11,4,7,1289.11,4399.04,15326.36
256,20250308,256,13,5,1,108.22,1684.46,6270.38
257,20250619,257,10,2,23,196.61,8370.43,15970.57
258,20250209,258,4,5,16,327.65,1680.07,4421.21
259,20251112,259,2,4,14,769.4,1605.01,6941.89
260,20251106,260,6,3,17,561.1,8056.78,27140.96
261,20250804,261,16,2,14,1361.18,8299.33,21160.16
262,20250914,262,17,6,18,1388.43,8420.95,32904.38
263,20250622,263,12,1,14,1421.19,7245.86,15919.39
264,20250603,264,9,4,20,1049.86,636.92,1750.88
265,20250314,265,5,2,9,899.32,2300.31,8957.98
266,20250529,266,12,3,9,584.59,8065.16,16439.69
267,20250119,267,18,5,15,1122.33,6203.42,27958.26
268,20251207,268,5,3,7,347.84,7791.23,37306.1
269,20250924,269,13,5,14,935.88,4651.78,22117.53
270,20250114,270,5,4,6,327.9,5135.34,17093.02
271,20250130,271,13,2,12,755.53,9825.7,48214.03
272,20251220,272,7,3,21,628.83,3538.08,11170.44
273,20250430,273,5,4,17,301.24,5686.31,14263.88
274,20251120,274,9,3,17,1352.22,8119.24,37887.97
275,20250610,275,17,6,10,1296.52,6186.86,17305.52
276,20251108,276,13,4,12,260.98,715.22,3231.34
277,20250721,277,13,2,4,209.91,3002.25,8880.82
278,20251012,278,19,1,15,1028.21,1620.78,3972.22
279,20250121,279,18,4,9,661.06,9268.45,20666.27
280,20250420,280,2,1,12,962.41,5386.55,19016.04
281,20250521,281,19,3,5,217.53,3464.48,11886.55
282,20251113,282,17,2,27,1329.07,3978.59,15879.12
283,20250430,283,10,1,16,997.85,8790.95,13477.08
284,20250116,284,5,4,24,998.15,1575.74,6802.24
285,20250516,285,9,3,26,248.02,8068.64,32774.81
286,20251213,286,18,3,6,384.97,9977.2,40093.77
287,20250910,287,12,1,17,1434.82,1688.05,3360.8
288,20250710,288,11,1,20,498.08,7416.89,33232.27
289,20250913,289,12,1,5,597.54,6871.55,18214.7
290,20250101,290,20,5,4,462.64,2938.8,5757.42
291,20250301,291,7,4,7,582.01,9005.62,30344.32
292,20251128,292,4,2,20,968.23,8995.98,43537.28
293,20250910,293,8,1,2,726.98,7932.45,13690.74
294,20250204,294,13,5,27,949.24,3093.64,13816.24
295,20251107,295,12,6,18,161.56,3048.52,6652.31
296,20250519,296,17,2,24,341.59,9218.08,44050.8
297,20250204,297,19,4,12,670.22,2327.75,4495.56
298,20250414,298,15,1,19,437.91,5564.55,9052.31
299,20250818,299,15,1,1,1348.97,2170.36,7908.78
300,20251018,300,4,4,9,761.76,9250.31,22043.11
301,20250803,301,12,1,1,1014.46,4800.5,20099.32
302,20251213,302,17,4,22,395.47,1713.11,6747.35
303,20250522,303,6,1,13,128.12,1671.45,8088.36
304,20250308,304,10,2,24,1134.91,5964.54,9378.69
305,20250501,305,20,5,20,1311.14,9642.49,20541.13
306,20250716,306,18,6,23,345.37,1227.27,3530.86
307,20250120,307,10,1,12,298.16,8726.85,38168.41
308,20250519,308,19,1,14,1378.93,2784.01,4653.65
309,20251001,309,16,2,11,585.99,9836.21,44798.81
310,20250131,310,11,6,13,467.28,6285.58,15896.18
311,20250212,311,11,3,7,118.64,6666.52,29520.72
312,20250918,312,13,3,9,233.68,2795.86,10011.21
313,20250518,313,18,1,14,1009.76,5800.89,18013.45
314,20250108,314,10,2,21,1452.29,1823.72,4208.19
315,20250829,315,1,5,21,545.38,2740.15,11766.58
316,20250105,316,5,6,9,235.39,5673.46,18084.6
317,20250102,317,17,6,15,987.37,5398.9,10838.02
318,20250329,318,10,3,16,457.24,9876.48,17500.39
319,20250829,319,17,6,18,1134.51,802.13,3410.78
320,20250604,320,12,2,11,393.86,759.86,3643.74
321,20250110,321,2,6,24,1178.72,8477.59,29226.73
322,20250914,322,14,1,1,1146.31,6566.75,21037.91
323,20250428,323,13,6,8,1291.45,4504.59,17583.27
324,20250313,324,10,3,25,131.59,3410.85,7618.18
325,20251212,325,3,1,13,779.18,4988.54,10723.16
326,20250410,326,16,5,3,190.43,1847.33,8797.38
327,20250523,327,13,1,9,996.29,2693.21,10140.89
328,20251002,328,9,5,20,1423.78,9638.7,24558.06
329,20250128,329,3,3,26,714.2,8594.03,17817.83
330,20250109,330,16,2,13,1319.43,7929.0,38886.38
331,20250319,331,8,4,8,1157.16,4637.86,15807.25
332,20251018,332,1,3,15,1412.05,749.07,1239.17
333,20250120,333,8,5,20,184.43,1810.57,3176.31
334,20250617,334,4,4,15,263.12,3671.22,8596.66
335,20250914,335,15,6,24,1020.86,3384.36,11466.05
336,20251218,336,19,3,4,677.39,1374.8,3513.57
337,20250601,337,12,3,22,565.84,6000.49,18252.37
338,20251219,338,9,5,28,1449.48,595.74,1307.17
339,20250627,339,9,4,22,490.63,8666.84,16830.63
340,20250524,340,3,1,17,250.96,5215.0,19111.67
341,20250531,341,11,6,16,1196.14,3243.5,5972.13
342,20250110,342,11,1,27,1167.13,2284.32,10260.03
343,20250404,343,8,1,3,760.13,5286.01,18595.0
344,20250119,344,8,4,1,831.77,3028.95,8149.48
345,20250809,345,16,2,19,938.24,3969.92,14522.28
346,20251210,346,2,4,13,1082.79,3631.92,16961.39
347,20250205,347,13,5,21,983.64,1079.62,5281.27
348,20251124,348,4,1,9,122.42,3585.57,11001.09
349,20250701,349,5,2,2,1499.95,2771.56,9836.11
350,20250327,350,12,6,7,233.09,3518.16,7293.24
351,20250106,351,5,1,8,1211.28,8834.5,32873.64
352,20250302,352,19,3,28,1116.25,5864.63,19017.16
353,20251029,353,20,5,17,193.72,2852.73,11636.23
354,20251016,354,1,1,20,143.86,5328.19,13094.95
355,20250427,355,14,6,9,1252.86,2572.74,5487.85
356,20251008,356,4,1,8,460.51,8685.89,17271.95
357,20250404,357,10,6,26,941.32,1644.45,7569.44
358,20250901,358,1,6,29,1201.78,1736.91,3448.81
359,20250609,359,13,1,8,144.61,7635.04,31279.65
360,20250529,360,19,3,29,461.42,5596.23,10552.87
361,20250510,361,11,3,30,311.59,6148.3,30005.27
362,20250421,362,3,4,4,1489.22,8615.67,27811.91
363,20250614,363,11,1,7,753.61,8412.03,19469.31
364,20250124,364,1,3,12,1132.99,3939.34,10906.17
365,20251207,365,20,6,8,305.87,8793.9,17156.42
366,20250320,366,16,6,2,1112.4,4079.12,8018.06
367,20250205,367,13,4,2,507.69,8540.51,28071.26
368,20251013,368,6,1,10,215.47,7498.74,25133.63
369,20250814,369,13,1,11,654.61,8883.99,30529.77
370,20251120,370,16,1,13,550.39,7193.73,30851.78
371,20250506,371,18,6,8,1079.42,5335.6,24918.14
372,20250322,372,3,4,13,1165.45,919.92,3145.67
373,20250122,373,1,6,20,674.62,1785.77,8095.37
374,20251226,374,6,5,8,614.38,5246.32,21554.91
375,20250424,375,6,4,15,335.63,1357.31,4489.12
376,20251024,376,7,3,30,605.61,9420.53,40318.07
377,20251021,377,10,5,14,1103.95,7738.1,20864.98
378,20250430,378,16,5,6,100.39,5433.27,14892.76
379,20250527,379,13,4,7,1415.8,4097.84,17913.9
380,20251007,380,3,4,11,529.72,3481.27,6687.02
381,20250514,381,14,4,1,1126.35,6463.84,30135.94
382,20250525,382,7,2,18,487.25,2060.22,7839.29
383,20250509,383,1,2,11,933.52,6426.76,17892.68
384,20250620,384,9,5,29,890.11,2555.21,6682.51
385,20250802,385,15,6,25,640.3,6827.77,23497.41
386,20250114,386,5,5,19,1124.8,7004.45,30781.93
387,20250319,387,11,4,1,1462.03,6091.58,15461.53
388,20250402,388,16,4,7,1098.62,8511.29,37417.97
389,20250730,389,13,1,10,1062.68,4849.07,15260.75
390,20250311,390,2,3,13,1019.63,6151.16,15223.28
391,20250920,391,16,4,4,377.8,660.91,1637.01
392,20250711,392,14,2,21,545.77,6581.76,12761.64
393,20250529,393,19,2,9,121.8,1144.3,5408.35
394,20250404,394,6,6,12,316.17,5873.4,27769.06
395,20250321,395,14,2,2,1207.05,6498.96,16567.76
396,20250726,396,17,3,2,116.29,6825.94,16715.29
397,20250815,397,20,5,6,856.66,5825.56,13980.12
398,20250730,398,18,3,26,144.03,5964.97,12682.74
399,20250115,399,18,6,1,725.51,3177.37,7205.14
400,20250808,400,14,6,15,1074.16,2935.58,8095.13
401,20250605,401,20,3,25,425.7,3535.9,15085.23
402,20251006,402,11,6,21,715.81,7792.91,32194.51
403,20250812,403,17,1,30,631.47,725.13,2057.19
404,20250330,404,10,4,21,1435.16,7645.95,24621.04
405,20250426,405,7,6,11,1134.29,688.19,2366.21
406,20250602,406,13,5,20,735.32,9965.78,46939.14
407,20250502,407,9,5,1,867.88,2295.27,9185.53
408,20250708,408,1,6,21,1037.77,7237.22,23735.16
409,20250907,409,16,3,12,810.62,8538.23,27240.93
410,20251006,410,18,1,25,912.94,7563.0,35262.53
411,20251222,411,2,2,8,126.96,8356.46,29629.31
412,20250529,412,9,1,30,1404.56,2647.24,6179.44
413,20250918,413,9,1,12,513.31,1149.42,4741.39
414,20250202,414,20,1,12,898.48,6509.36,15101.61
415,20250927,415,5,5,25,1283.46,6888.87,27649.89
416,20250407,416,19,1,21,1117.98,4449.75,11280.36
417,20250822,417,20,1,29,1171.32,3397.95,5286.2
418,20251124,418,18,5,25,1166.95,535.52,2231.56
419,20250825,419,7,3,10,366.93,3095.78,10948.7
420,20250911,420,14,1,24,627.85,8318.04,25803.16
421,20250825,421,14,3,29,425.93,7629.39,28319.89
422,20250814,422,20,5,3,285.66,6199.38,29595.71
423,20250602,423,11,2,6,591.26,5510.56,8952.08
424,20250909,424,19,5,29,385.45,6566.72,10020.64
425,20251205,425,4,5,30,1051.52,6073.56,30267.62
426,20250812,426,5,5,22,249.49,5826.95,19913.86
427,20251031,427,7,3,5,1476.5,5594.28,8484.16
428,20250707,428,4,5,4,558.17,7354.36,32476.74
429,20250416,429,16,2,15,1188.34,1833.47,7733.41
430,20250816,430,3,3,2,1017.64,6772.61,13810.58
431,20250910,431,9,3,1,1480.31,7181.4,11099.43
432,20251111,432,13,1,11,913.08,2288.73,5146.29
433,20251115,433,8,4,26,1342.87,2052.9,8488.61
434,20250309,434,5,4,18,1134.25,9546.53,36197.75
435,20250612,435,14,1,26,682.01,1484.91,4894.58
436,20250321,436,8,5,16,327.63,7524.96,19338.22
437,20250527,437,6,6,9,1326.73,7199.54,26045.61
438,20250111,438,18,3,19,132.35,3715.83,12024.62
439,20250807,439,20,3,23,1225.1,4814.99,16833.95
440,20250119,440,8,5,2,641.72,8816.79,14450.61
441,20250505,441,12,1,2,1059.43,1470.05,3826.01
442,20250715,442,13,4,27,1289.17,8299.34,18442.35
443,20250908,443,9,3,12,1491.87,8937.96,19894.48
444,20250130,444,18,5,6,720.21,9954.0,39461.59
445,20250408,445,17,5,22,946.0,3650.68,15863.81
446,20250729,446,8,6,6,1004.72,6237.49,27953.13
447,20250210,447,14,1,24,139.11,2363.84,8390.82
448,20250422,448,8,3,6,891.35,5515.37,12648.35
449,20250209,449,17,2,24,428.1,9329.65,17637.59
450,20251107,450,10,5,10,938.64,4344.84,21663.11
451,20250628,451,16,3,27,873.16,7756.27,24631.07
452,20251104,452,18,1,8,1136.22,5031.09,10147.99
453,20250920,453,5,3,30,1472.3,9069.67,44199.44
454,20250402,454,18,6,26,597.28,629.93,2786.97
455,20250130,455,5,1,19,534.38,1386.41,5138.62
456,20250917,456,2,4,15,1176.82,5070.64,24210.79
457,20251107,457,5,5,25,1216.54,4634.06,7863.63
458,20251211,458,1,3,6,1231.81,1006.19,2924.04
459,20251218,459,2,6,19,642.29,7088.2,31086.63
460,20251016,460,5,3,30,933.76,8977.45,25690.09
461,20250615,461,7,3,23,947.79,7509.28,20242.06
462,20250211,462,5,3,9,562.84,5105.91,11324.23
463,20250402,463,9,2,29,1122.12,4496.4,15530.38
464,20250701,464,20,6,26,1498.82,8309.92,35315.62
465,20250414,465,7,5,30,524.5,687.02,2740.78
466,20250602,466,7,5,26,416.24,8962.31,18995.33
467,20250626,467,12,1,11,841.43,7000.74,33859.09
468,20250914,468,13,4,11,785.85,1817.89,8370.38
469,20250803,469,20,2,29,1273.54,3867.21,17573.05
470,20250525,470,9,4,10,1402.26,7005.99,29414.95
471,20250721,471,16,2,16,235.94,9819.33,23924.72
472,20250205,472,15,2,14,1409.49,610.32,2645.81
473,20250518,473,7,6,3,957.57,8208.62,12848.98
474,20250608,474,1,2,12,398.8,6454.57,24230.04
475,20250111,475,9,2,29,1180.69,3996.18,17818.91
476,20251122,476,4,4,24,498.43,703.29,2933.1
477,20250810,477,16,2,20,1190.6,3892.35,18181.79
478,20250427,478,10,1,8,872.26,2448.34,7807.11
479,20250922,479,15,4,9,281.55,1739.1,5315.09
480,20250529,480,15,5,8,783.94,7416.85,33964.01
481,20250526,481,6,1,26,1093.1,3760.29,8162.61
482,20250930,482,4,1,1,661.45,1908.98,4797.81
483,20250413,483,12,1,27,1390.5,1981.44,9006.11
484,20250120,484,14,3,10,354.06,568.44,1143.54
485,20250716,485,15,2,22,908.13,2277.44,10344.15
486,20250717,486,7,1,2,1477.61,7679.27,30534.42
487,20251005,487,17,4,15,965.89,1278.09,2064.31
488,20250314,488,12,5,17,1273.76,4892.6,22971.81
489,20251022,489,19,1,9,582.78,8803.62,18074.14
