Campaign_Performance_ID,Date_ID,Campaign_ID,Channel_ID,Geography_ID,Impressions,Clicks,Leads,Conversions,Spend,Revenue
82,20250414,16,4,27,220600,13116,2937,524,32836.95,1250542.07
83,20250515,14,2,7,9166,731,136,17,1657.78,65654.88
84,20251024,1,6,3,167480,3512,232,15,34748.12,32796.61
85,20250804,9,2,3,8180,507,72,6,1663.87,5101.67
86,20250414,6,4,23,176447,5846,1582,439,37507.35,683649.97
87,20250402,20,1,20,235966,3513,763,147,43272.02,232015.19
88,20250722,7,2,24,181031,5496,1556,458,56451.53,1410570.59
89,20250303,11,5,23,153449,7357,2068,504,44519.27,1834830.82
90,20250313,16,3,11,48010,1814,474,139,11182.89,405081.81
91,20251001,3,5,9,10819,234,57,13,1980.14,36735.02
92,20250621,10,1,4,141272,9412,1957,557,14970.82,1129013.73
93,20250409,20,1,6,169501,1718,415,63,56766.32,174187.24
94,20250720,19,3,5,123458,3199,389,80,24845.76,391774.65
95,20250423,12,5,7,227441,8061,671,197,66702.2,896009.81
96,20250623,17,6,25,151641,11473,2572,309,52775.5,794362.29
97,20250423,2,6,7,107980,7452,1256,165,24319.89,764383.41
98,20251222,14,1,17,137463,6048,730,176,12292.75,557377.43
99,20250510,17,1,14,15859,880,196,18,1435.96,46854.88
100,20250213,4,4,9,247015,14384,3204,519,38934.6,2573919.69
101,20250311,16,6,24,243588,17589,2144,484,94443.57,548116.72
102,20250819,13,5,25,49261,3603,1041,87,8015.88,397218.71
103,20251010,1,5,15,59934,2461,431,60,9449.32,228557.14
104,20250727,18,3,27,226682,10307,585,46,19380.44,56807.4
105,20251221,10,3,17,18553,1135,93,7,2076.18,13990.51
106,20250822,10,2,1,177045,6824,1788,530,57333.97,1510096.23
107,20250423,10,1,21,55756,3806,1000,199,19834.04,522870.25
108,20250419,15,3,12,192217,14939,1001,218,25804.23,246616.75
109,20251105,17,6,8,62788,4481,1067,152,5416.2,722718.89
110,20251219,11,3,27,116869,8636,1633,399,32042.2,1528122.47
111,20250827,18,6,12,167238,12050,1964,474,34905.28,750685.66
112,20250929,17,4,12,5155,269,53,7,2032.82,17645.32
113,20250301,6,4,5,221624,5509,1610,335,64977.32,1190822.06
114,20251212,5,5,16,156908,1667,181,24,29143.77,116392.96
115,20250913,3,6,1,100788,4983,566,168,34922.3,263272.29
116,20250124,8,3,12,173138,13368,3874,579,21044.59,1332361.68
117,20251027,13,5,22,39157,521,72,10,7005.43,28125.79
118,20250801,20,5,11,42594,3281,692,74,16495.77,108633.79
119,20250214,14,3,10,20520,369,43,3,4703.53,3574.71
120,20250612,6,6,24,105732,7427,2098,321,9104.36,378530.22
121,20251117,14,5,24,171403,8388,1839,157,35337.47,580709.87
122,20250721,10,5,23,235434,15087,4300,251,24156.84,1014313.0
123,20250803,16,1,21,192057,5289,354,46,49229.38,97616.1
124,20250611,8,2,11,160724,3151,940,62,42999.49,220932.33
125,20250312,14,6,7,241657,14846,4392,422,23542.28,1393087.03
126,20250614,20,6,13,211679,3980,428,37,45194.74,90097.56
127,20251004,10,1,15,213247,16009,3196,541,34043.28,1730377.78
128,20250225,13,2,24,138325,6740,1741,335,50657.71,1183312.58
129,20250724,19,4,20,200405,5301,556,43,44659.57,146896.58
130,20250925,12,2,20,97741,3416,623,75,19451.39,281121.6
131,20251101,5,4,15,137038,4332,1066,296,35388.41,247494.52
132,20250630,17,4,19,207852,10393,2018,474,74309.73,2179049.49
133,20250725,13,1,17,165973,8454,1505,138,26821.45,382953.49
134,20250621,14,2,4,107742,4525,773,79,36870.31,125088.36
135,20250222,11,1,28,59268,2410,225,33,20593.0,118688.77
136,20250402,4,5,17,110869,7079,1129,64,37613.02,83839.69
137,20251125,2,6,27,169777,10550,545,105,17047.17,403282.88
138,20250824,6,6,12,40384,1297,231,34,5058.25,44946.07
139,20250113,20,4,2,119112,3042,547,72,45257.02,158402.72
140,20250520,1,5,24,102524,1553,297,32,18916.8,124666.89
141,20250718,13,6,30,40785,1971,499,37,12111.86,153646.21
142,20250425,5,3,5,139931,9655,970,277,22918.08,459323.78
143,20250720,6,3,22,180837,7151,536,110,21194.17,483386.06
144,20251229,11,2,29,212461,11471,1886,531,63509.95,1099115.11
145,20250518,19,5,2,233653,17139,3253,380,69994.37,631123.91
146,20250826,3,1,22,87392,5424,1541,412,18778.09,611526.13
147,20250312,9,1,19,109134,6175,1439,282,38059.08,378437.9
148,20250108,14,5,26,16308,267,79,20,6206.05,89500.61
149,20250427,1,1,21,116258,7781,1035,245,19672.07,853781.56
150,20250612,5,1,2,79713,6034,1185,149,28861.27,247631.04
151,20250325,1,6,25,183513,12850,2609,205,29787.64,551674.32
152,20250313,2,5,18,99937,4109,950,213,39167.65,568179.24
153,20250819,6,4,14,47019,612,115,22,13571.62,18986.73
154,20251028,9,2,20,233108,17835,4514,853,69959.28,1242080.14
155,20250105,13,2,1,234919,12870,1253,68,70883.46,181570.56
156,20250130,1,3,24,118088,5618,1441,153,25025.41,143919.8
157,20250310,12,5,5,9946,149,12,2,1630.38,5486.89
158,20250811,2,3,5,214725,15849,2878,798,52077.97,1849974.42
159,20251120,10,5,12,189954,4257,1060,80,66695.97,90813.66
160,20250924,19,5,1,22217,294,43,11,4564.97,21544.86
161,20251119,15,1,28,186420,6535,1586,429,69945.44,396539.73
162,20250529,2,4,22,21968,355,93,27,6873.36,74227.26
163,20250527,6,5,17,10778,493,61,8,1214.32,39412.5
164,20250106,13,2,19,199146,3815,472,73,30601.65,361238.27
165,20250518,20,6,28,239574,4771,1049,134,43267.9,597895.08
166,20251205,5,3,6,235108,7032,904,105,85782.99,508678.34
167,20251204,2,4,11,112650,4810,626,116,43997.71,157934.09
168,20251211,6,3,17,178444,11115,995,135,67584.13,257431.9
169,20251205,2,5,7,39952,2817,437,120,8917.67,355806.77
170,20250130,4,1,26,17804,281,82,19,2988.74,50522.22
171,20251120,7,3,6,26469,674,87,5,8453.7,10100.47
172,20250226,5,5,5,67008,1251,319,70,13717.99,76138.63
173,20251115,15,3,16,216008,14577,3693,1001,47813.65,2422432.6
174,20250425,14,4,16,156746,3257,942,199,36427.65,543748.45
175,20250713,15,2,2,119316,2689,613,176,13797.48,476232.91
176,20250901,12,6,13,71517,3622,736,128,27344.69,339788.66
177,20251109,1,3,20,171213,13177,942,130,68215.7,615539.96
178,20250904,12,4,20,170091,12396,3455,300,45828.74,751407.47
179,20251127,13,4,30,162112,2353,575,161,19352.45,337781.58
180,20250324,9,4,29,6418,158,31,8,579.73,30385.55
181,20250624,20,3,28,78997,1518,265,51,23456.41,176678.82
182,20250913,8,1,13,27108,2097,520,69,5083.0,165358.67
183,20250227,4,5,28,32503,1079,270,20,4641.74,50218.05
184,20250327,3,1,28,201763,5746,1653,480,69355.93,1621210.22
185,20250818,2,5,16,46915,2958,567,80,10193.42,272700.93
186,20250904,13,2,27,139906,10841,1309,189,38640.71,290216.82
187,20251104,19,2,30,21355,246,41,3,8238.4,3442.7
188,20250609,1,5,21,10172,195,29,5,2680.81,5051.45
189,20250711,15,3,1,146725,1837,371,53,47308.21,88735.84
190,20250605,17,4,25,73920,4942,1039,91,8979.76,95526.13
191,20250919,8,3,22,60919,4539,983,219,23418.72,860477.74
192,20251025,8,5,24,70010,3772,863,130,9110.84,221253.77
193,20250430,15,1,1,217581,3315,797,218,17591.11,1052899.77
194,20250625,1,3,15,194672,7332,1200,182,19004.87,154899.35
195,20250525,16,3,23,235937,13954,1689,180,32774.44,149316.59
196,20250621,6,2,26,157210,8266,2000,258,35883.14,536872.92
197,20250425,1,1,26,146094,8555,1259,94,36659.54,412681.75
198,20250424,12,6,14,174766,2256,620,127,15289.2,245824.74
199,20250512,19,6,7,112969,7244,1457,323,24578.86,1427538.64
200,20250205,13,2,12,202889,3437,784,185,22714.09,738893.91
201,20250226,4,1,10,64283,2769,554,158,18213.1,634794.14
202,20250617,17,1,10,28011,1172,309,18,2891.48,48596.31
203,20250714,7,6,16,54057,3567,694,174,10660.01,281110.54
204,20250521,8,1,18,211876,14979,3915,718,73583.63,580132.16
205,20250524,15,6,18,234636,17390,1848,306,53968.0,288464.52
206,20251113,7,1,10,232501,17566,3711,759,19339.16,2848959.15
207,20250319,15,5,26,132481,8422,2459,636,19622.66,2371607.83
208,20250712,9,4,18,169756,11073,1273,348,35029.23,1386060.75
209,20250709,3,4,5,16306,203,15,1,4953.92,1070.04
210,20250702,17,2,21,190867,14985,3524,1029,37504.51,1317320.38
211,20250928,10,2,25,239817,4525,606,41,88344.0,65703.05
212,20250703,16,2,24,137125,5881,615,97,31942.39,152592.85
213,20250403,15,3,22,230977,10536,1146,159,35100.97,748280.61
214,20251029,6,4,12,16214,1064,147,7,5364.33,21818.28
215,20250329,19,3,30,14272,606,177,28,2398.21,110113.06
216,20250623,13,1,9,59753,1089,207,25,17978.89,94005.96
217,20251004,10,1,12,202668,12346,2764,214,58149.24,183897.76
218,20251120,14,1,9,51821,3561,743,116,12426.62,307369.14
219,20250322,2,4,2,249387,19133,4777,787,27521.08,834653.86
220,20250417,18,1,15,181417,7653,1734,159,67145.52,509134.82
221,20250509,11,5,19,141944,7239,941,230,15519.5,989938.78
222,20250430,20,4,1,210282,4601,921,204,54644.9,705659.08
223,20250127,5,4,12,209422,12941,2120,405,43135.99,749285.66
224,20250424,11,2,25,205869,7647,514,141,61399.98,552251.99
225,20251214,3,1,20,50068,1164,157,10,16364.38,14721.45
226,20250517,16,3,4,209149,16097,4796,780,72321.18,2801893.0
227,20250122,1,6,23,74824,757,99,10,15305.95,26020.88
228,20250630,7,4,6,245721,15527,1752,415,27503.99,646763.02
229,20250921,12,5,30,140049,4911,1120,153,16010.91,729332.03
230,20251130,2,5,24,10232,644,106,9,2877.37,26627.39
231,20250211,9,1,19,179358,14271,2875,480,57322.74,1071151.4
232,20251231,11,3,29,101616,5046,670,34,29106.19,58831.52
233,20251117,3,1,8,187790,3491,294,85,27713.45,401156.74
234,20251118,7,4,6,26197,1279,369,103,3274.33,302709.19
235,20251009,8,6,12,73914,3702,350,55,11290.96,181593.64
236,20250205,4,2,28,20825,624,58,15,6099.67,60802.58
237,20251009,15,5,15,31964,2535,385,67,4018.29,121794.22
238,20250704,8,5,9,247885,16752,3380,891,32786.9,4379505.41
239,20250306,15,1,22,210099,10100,1045,117,45189.85,99364.65
240,20250220,3,3,17,32669,1267,179,16,3782.18,17588.43
241,20250625,2,1,12,242211,15967,2768,595,42115.2,1551691.95
242,20251226,5,1,26,219646,6284,634,162,65195.96,569185.17
243,20251204,15,4,25,209518,11117,1080,296,18941.32,314224.86
244,20250108,11,3,2,163956,2444,330,19,23049.86,58375.01
245,20250816,19,6,30,111088,8220,1222,106,28663.66,383434.94
246,20250314,7,6,30,10750,414,76,11,4227.94,48386.03
247,20251205,11,4,30,12366,592,112,17,2954.24,78506.9
248,20251211,7,3,11,157848,6845,1050,91,33731.71,218244.89
249,20250612,8,6,21,235396,9835,1155,62,65868.47,181429.58
250,20250505,19,5,2,236713,14041,2772,673,80312.24,942128.37
251,20251023,4,2,22,140097,5416,999,193,37159.42,255443.25
252,20250924,16,1,5,41750,1160,333,19,7388.4,89254.47
253,20250324,2,1,11,7286,563,131,25,2082.89,100197.03
254,20250802,20,3,15,44946,2050,315,64,9209.26,77047.07
255,20250103,13,5,1,129627,4829,1198,313,37888.0,337705.45
256,20250327,10,4,1,52430,3685,664,50,19155.29,114562.86
257,20250315,11,5,6,27416,1649,136,32,6990.54,26657.35
258,20250326,12,2,25,178559,6177,1286,197,46928.75,600754.97
259,20251219,18,2,5,113749,7475,1984,475,26903.96,967203.69
260,20251218,7,3,2,37222,1558,111,13,6491.6,48506.64
261,20250914,9,3,15,59031,1343,246,53,11626.58,253847.68
262,20250420,20,4,23,6375,98,12,2,681.98,3216.27
263,20250318,7,6,28,238775,15428,2193,636,90652.29,1040066.68
264,20250429,8,2,28,19161,307,85,24,5051.71,46103.67
265,20250915,20,6,14,230078,16040,4720,1197,75138.92,4168378.89
266,20250710,1,5,7,67060,979,258,39,10598.69,148272.29
267,20251006,13,2,19,193295,7137,964,277,76145.74,1300218.55
268,20251128,11,2,24,220528,13701,3857,787,58038.76,1445860.01
269,20250619,9,1,9,200317,14616,4240,597,20981.57,1307846.87
270,20250824,14,4,5,143360,8066,2268,222,35111.76,932140.75
271,20250628,6,4,25,242423,13904,3025,734,76487.75,1780877.86
272,20250109,14,2,16,111520,1296,104,12,28698.68,39046.88
273,20251021,9,5,11,223859,5679,728,192,41199.05,278627.74
274,20250327,10,2,13,134338,2242,276,72,51661.83,186350.1
275,20250325,17,1,29,86305,5798,398,118,27321.04,511127.33
276,20250930,13,2,7,105458,3113,878,85,24933.81,133236.05
277,20251031,7,5,17,241443,4897,302,30,26675.71,115435.06
278,20251213,1,6,19,186821,14850,2196,325,26918.43,1589593.32
279,20251105,7,1,15,249511,16495,3919,532,28798.23,1583070.01
280,20250204,6,1,15,155024,3216,427,118,13462.55,349815.41
281,20250725,7,1,26,82477,1994,519,114,31943.52,308473.78
282,20251218,7,5,6,70311,3228,258,49,23285.28,191558.77
283,20250711,9,6,11,169652,1712,344,41,48643.77,156390.24
284,20251124,7,6,2,39631,2675,761,141,12288.01,193644.73
285,20250203,18,3,3,225798,14372,1171,171,38177.4,241948.8
286,20250428,9,2,14,129070,4095,219,18,15629.38,64057.27
287,20251225,4,1,26,164003,6180,1598,252,18429.14,1096786.6
288,20251029,16,6,21,248387,14347,3100,832,88891.31,2189780.77
289,20250214,17,3,14,22974,1252,370,67,4143.15,56024.9
290,20250830,17,2,7,53647,1304,368,24,11665.22,26621.58
291,20251214,20,3,23,76958,1033,271,69,25256.68,324742.65
292,20250611,9,1,13,195726,14956,1091,133,25591.7,214822.5
293,20250711,9,3,26,48356,2081,524,32,4217.19,55363.04
294,20251116,15,1,18,150447,3200,482,45,23320.49,43194.54
295,20250223,15,2,21,104958,5405,1160,61,28526.63,145570.3
296,20250114,2,1,24,203107,7848,1812,361,76401.23,1183265.36
297,20250519,17,2,10,187037,6572,868,135,21833.84,376605.36
298,20250309,19,3,15,67360,2753,238,70,17140.23,221825.46
299,20251106,3,3,2,57668,2696,625,164,5177.76,745093.1
300,20250425,10,5,4,184763,5441,351,62,57785.36,190589.37
301,20250817,20,2,22,151351,1682,210,23,35461.77,103414.58
302,20250504,1,3,8,231218,15271,2160,468,53271.67,1442183.66
303,20250714,4,6,30,228386,10977,2804,197,67686.96,326566.56
304,20250709,4,4,18,12111,268,38,3,2179.71,7418.85
305,20250923,17,5,26,22786,842,145,42,5902.57,74561.47
306,20250619,17,4,6,127157,2717,310,27,27596.27,27939.42
307,20250614,14,2,11,209478,13558,1920,328,36673.21,1464736.87
308,20250504,10,5,3,183844,3987,1156,113,24305.93,131626.14
309,20251113,8,2,28,143996,8793,2261,227,12640.4,1006495.05
310,20250825,3,4,7,31754,1668,87,15,8729.93,68462.05
311,20250114,11,1,16,36022,850,138,28,13173.41,97022.45
312,20250216,11,2,1,168227,7591,1948,389,64803.46,1703679.1
313,20250903,6,4,20,164939,3242,523,74,32883.93,140622.58
314,20250611,19,6,11,204044,8932,1187,153,67704.41,148999.85
315,20250304,8,3,24,123810,6345,537,130,49112.39,533590.61
316,20250517,10,4,29,155777,11096,1985,385,55997.89,1215303.88
317,20251013,14,3,23,34696,2717,191,44,5054.47,214251.41
318,20250205,17,3,13,178169,13061,1954,150,68362.51,711635.59
319,20250303,18,5,21,155744,7941,814,239,21643.82,820444.32
320,20250427,15,2,11,126129,2531,754,154,21476.08,233419.6
321,20250204,14,3,6,136224,4301,690,74,29233.88,313926.03
322,20251003,3,6,19,83541,1497,217,38,12625.56,73358.31
323,20250525,11,3,18,190569,7647,998,215,24252.0,421868.99
324,20250208,15,6,14,97668,7802,728,47,11376.85,62145.64
325,20250223,11,4,30,175059,11828,945,85,31602.6,206171.1
326,20250216,12,3,15,145043,4621,1269,258,55820.13,1239692.6
327,20250316,8,6,10,134353,8792,1573,82,15869.29,319716.66
328,20250707,18,5,16,154468,7776,1732,263,33848.56,900027.87
329,20250202,15,5,26,159103,10504,2137,415,18511.53,2028057.48
330,20250217,20,2,25,76337,3701,589,33,21117.4,136187.51
331,20250210,9,3,3,244352,16052,2509,380,48914.54,1374502.92
332,20250328,1,5,26,76483,2967,607,36,20014.35,126870.59
333,20250709,3,1,1,222212,9218,2004,386,81174.83,1070306.81
334,20251016,1,2,23,183188,14237,2043,125,53202.94,170298.47
335,20251015,7,1,8,98747,1045,141,41,30430.69,44880.52
336,20251004,1,3,29,94371,5975,879,193,29289.2,742914.63
337,20250702,14,1,13,130504,2706,217,22,43900.68,78356.01
338,20250402,6,4,16,192280,6134,1155,69,17623.33,87430.88
339,20250206,19,1,15,102369,5377,1523,435,33437.33,1565641.29
340,20251019,12,6,17,191624,8251,864,176,31996.47,793620.33
341,20251014,9,3,22,200915,11046,2622,704,76752.76,2705359.33
342,20250417,17,4,8,105535,4937,980,54,18161.14,47269.32
343,20250304,1,1,18,191126,2861,512,97,27270.13,275108.61
344,20250107,16,3,18,33611,1532,198,37,3424.33,61724.91
345,20251107,9,4,19,139978,5673,1403,316,23473.0,795810.7
346,20250421,3,6,7,184245,14009,3787,536,45598.41,1388439.66
347,20250725,20,5,20,220358,15389,2247,365,41966.56,1582427.31
348,20250110,3,3,10,161844,4766,1322,94,54484.12,167465.5
349,20250515,7,6,18,76105,2564,383,43,6194.93,97117.69
350,20250708,13,4,12,12903,204,21,3,2004.01,12666.19
351,20250731,4,4,14,214941,9464,1128,152,49483.61,752991.66
352,20250710,13,6,17,86815,5947,491,73,11689.54,318547.76
353,20250805,20,2,23,63781,1632,167,26,6294.66,122091.58
354,20250531,5,6,12,83370,4731,415,71,14526.29,216375.23
355,20250825,13,4,19,126117,9795,1269,85,22473.82,243783.69
356,20250721,4,4,20,149072,2303,272,44,54308.79,214567.21
357,20250506,4,2,17,241305,14741,1315,389,82185.75,1941546.06
358,20251202,7,1,29,90942,1279,287,25,19452.59,55939.67
359,20251231,5,5,17,25387,1696,475,39,5335.31,81198.39
360,20250529,4,4,14,133243,1772,220,59,43895.15,193313.56
361,20250105,14,4,29,162437,2777,558,155,59197.21,479961.84
362,20251015,19,6,13,175511,2127,169,31,59477.7,136390.57
363,20250907,15,4,4,194555,2600,624,87,21698.46,296354.33
364,20250525,4,6,14,177824,2107,121,17,23394.31,44653.64
365,20250729,18,4,21,202512,11387,2472,585,22403.46,1554364.07
366,20250711,5,2,4,205266,7518,509,117,18180.63,451887.22
367,20250816,1,3,12,8855,96,14,3,2791.87,5871.29
368,20250730,5,2,22,103456,5491,818,113,19445.18,234553.19
369,20250703,3,6,12,176812,13120,1372,114,62245.01,251205.18
370,20251114,19,3,4,161690,9133,1645,343,28908.44,1447239.44
371,20250411,15,6,29,88568,3309,598,73,22497.29,182705.45
372,20250128,2,2,15,189518,10520,2807,260,52605.89,953887.65
373,20250619,2,3,16,34067,2399,401,87,9826.39,227480.87
374,20250731,3,6,29,42498,2855,481,84,6580.54,224870.08
375,20250417,9,2,28,224497,12511,1481,350,66443.55,649489.32
376,20251106,16,2,5,80349,4542,262,34,20462.14,100186.61
377,20251128,1,6,29,209540,12930,3545,855,30217.56,2856541.24
378,20250813,20,3,13,239121,15560,1147,223,30005.74,975786.02
379,20251124,20,2,15,27555,616,65,3,5212.67,8482.1
380,20251119,17,6,21,27333,1931,545,86,9270.44,185950.13
381,20250109,18,6,7,238725,13022,1757,266,66230.15,396913.16
382,20250827,12,2,8,27494,1767,345,49,6886.02,152634.04
383,20250228,20,5,24,234867,10486,2569,653,76963.27,2302821.48
384,20250424,17,4,17,139276,10189,2165,491,36019.22,2104038.17
385,20251019,8,2,13,248764,16748,3270,784,96262.64,1834819.3
386,20250212,18,6,2,178399,2837,230,61,67971.05,152943.02
387,20250610,5,3,19,95808,2834,508,29,22619.59,130388.13
388,20250402,7,3,15,194269,5011,256,23,43883.06,76081.59
389,20250318,9,1,12,119860,8456,586,145,16208.29,504559.82
390,20251220,8,6,11,159820,8427,1133,129,53211.75,258111.06
391,20250817,6,6,12,155510,7926,1317,180,37412.79,773103.47
392,20250305,3,4,6,10045,603,68,18,3205.71,87056.08
393,20251004,20,5,2,194576,3539,919,83,36710.69,110924.37
394,20250126,10,3,10,11347,130,7,1,1899.0,3012.1
395,20250611,1,2,10,19640,1043,66,17,4207.38,15546.06
396,20250722,7,5,29,155642,4019,309,73,16004.48,199700.57
397,20251213,1,3,14,101081,1011,275,15,30698.4,68309.64
398,20250104,7,4,5,132455,8824,746,143,15627.1,408172.48
399,20250409,6,2,27,193575,7830,1140,291,18599.33,971207.76
400,20250215,20,1,8,184975,8009,1620,248,45834.05,454382.74
401,20250928,10,5,25,42499,2837,630,79,4988.86,225315.5
402,20250810,1,5,24,241898,8757,1775,369,73941.69,1234843.07
403,20250125,20,1,11,131820,4076,1199,350,15028.42,1166550.29
404,20250112,10,3,27,21516,790,57,9,2063.86,15238.47
405,20250419,3,6,15,249968,19008,1869,481,85211.96,2379897.98
406,20250616,18,4,24,128426,7566,2041,500,19717.75,1330902.36
407,20251119,10,5,6,109452,3081,670,95,41468.5,321958.34
408,20250826,17,1,3,210726,16159,1465,268,48702.14,1132709.08
409,20250123,7,6,30,23390,541,44,5,5622.28,7457.89
410,20251125,16,2,5,236872,4993,1298,360,25838.06,1708790.8
411,20250928,4,2,14,100701,3736,430,108,25877.55,445317.39
412,20250816,13,4,15,12291,184,54,11,1051.29,27860.38
413,20250104,14,4,14,139877,2062,282,15,29848.45,16011.28
414,20250622,16,5,4,47161,3222,540,85,13209.98,151252.59
415,20251203,13,5,18,51940,2588,262,53,14755.9,200768.85
416,20251219,1,4,28,187934,7353,1945,141,26743.99,411136.55
417,20250108,18,5,10,204662,4004,1092,241,71180.73,891233.95
418,20250804,16,5,4,80747,5694,1008,245,7763.6,928071.17
419,20251204,1,5,25,182161,10400,697,125,66941.81,450030.77
420,20251111,18,4,16,218293,16120,1135,82,23004.11,225607.01
421,20250310,12,2,13,85517,4896,1260,351,27782.06,1593828.58
422,20250410,1,3,17,214019,6207,965,202,85103.19,319721.26
423,20250502,7,5,19,173686,5307,1116,63,41152.45,153611.66
424,20250228,2,6,9,37453,2555,518,70,13525.65,204617.24
425,20251214,16,6,20,95441,7339,1606,241,13265.76,1031338.7
426,20250208,4,2,22,154084,6923,422,120,44834.39,542768.82
427,20250107,8,5,10,216993,15203,3116,618,74708.46,1609609.96
